Code,Name,county_seat,cadastral_area,Population,Density,Latitude,Longitude,directional_area,Adjacent
48,LozÃƒÆ’Ã‚Â¨re,Mende,5167,76309,14.8,44.516999999999996,3.4989999999999997,S,Inland
49,Maine-et-Loire,Angers,7172,810186,113.0,47.48,-0.54,NW,Inland
50,Channel,Saint-LÃƒÆ’Ã‚Â´,5938,499287,84.1,49.11600000000001,-1.081,NW,Ocean
51,Marne,ChÃƒÆ’Ã‚Â¢lons-en-Champagne,8162,572293,70.1,48.97,4.36,N,Inland
52,Haute-Marne,Chaumont,6211,179154,28.8,48.11,5.14,NE,Inland
53,Mayenne,Laval,5175,307940,59.5,48.07,-0.78,NW,Inland
54,Meurthe-et-Moselle,Nancy,5246,734403,140.0,48.69,6.17,NE,B&L
55,Meuse,Bar-le-Duc,6211,190626,30.7,48.77,5.16,NE,Inland
56,Morbihan,Valves,6823,744813,109.2,47.726000000000006,-2.425,NW,Ocean
57,Moselle,Metz,6216,1044486,168.0,49.12,6.18,NE,L&A
58,NiÃƒÆ’Ã‚Â¨vre,Nevers,6817,211747,31.1,47.0,3.15,C,Inland
59,North,Lille,5743,2605238,453.7,50.64,3.07,N,Belgique
60,Oise,Beauvais,5860,821552,140.2,49.43,2.09,N,Inland
61,Orne,AlenÃƒÆ’Ã‚Â§on,6103,286618,47.0,48.44,0.09,NW,Inland
62,Pas-de-Calais,Arras,6671,1472648,220.7,50.29,3.0,N,Ocean
63,Puy-de-Dome,Clermont-Ferrand,7970,647501,81.2,45.78,3.08,C,Inland
64,PyrÃƒÆ’Ã‚Â©nÃƒÆ’Ã‚Â©es-Atlantiques,Pau,7645,670032,87.6,43.3,-0.39,SW,E&O
65,Hautes-PyrÃƒÆ’Ã‚Â©nÃƒÆ’Ã‚Â©es,Tarbes,4464,228582,51.2,43.24,0.08,SW,Espagne
66,PyrÃƒÆ’Ã‚Â©nÃƒÆ’Ã‚Â©es-Orientales,Perpignan,4116,471038,114.4,42.7,2.89,S ,E&O&A
67,Bas-Rhin,Strasbourg,4755,1116658,234.8,48.58,7.76,NE,Allemagne
68,Haut-Rhin,Colmar,3525,762607,216.3,48.08,7.36,E,A&S
69,RhÃƒÆ’Ã‚Â´ne,Lyon,3249,1821995,560.8,45.76,4.83,C,Inland
70,Haute-Saone,Vesoul,5360,237706,44.3,47.619,6.1545,E,Inland
71,SaÃƒÆ’Ã‚Â´ne-et-Loire,Macon,8575,555408,64.8,46.31,4.81,C,Inland
72,Sarthe,Le Mans,6206,568445,91.6,48.0,0.2,NW,Inland
73,Savoie,Chambery,6028,428204,71.0,45.58,5.91,E,Italie
74,Haute-Savoie,Annecy,4388,793938,180.9,45.91,6.12,E,S&I
75,Paris,Paris,105,2206488,20934.4,48.86,2.34,N,Inland
76,Seine-Maritime,Rouen,6278,1257699,200.3,49.44,1.08,N,Ocean
77,Seine-et-Marne,Melun,5915,1390121,235.0,48.54,2.65,N,Inland
78,Yvelines,Versailles,2284,1427291,624.8,48.81,2.14,N,Inland
79,Deux-SÃƒÆ’Ã‚Â¨vres,Niort,5999,374435,62.4,46.32,-0.47,W,Inland
80,Sum,Amiens,6170,571879,92.7,49.9,2.0,N,Ocean
81,Tarn,Albi,5758,386543,67.1,43.93,2.0,S,Inland
82,Tarn-et-Garonne,Montauban,3718,255274,68.7,44.02,1.35,S,Inland
83,Var,Toulon,5973,1048652,175.6,43.13,5.92,SE,Ocean
84,Vaucluse,Avignon,3567,557548,156.3,43.96,4.81,SE,Inland
85,VendÃƒÆ’Ã‚Â©e,La Roche-sur-Yon,6720,666714,99.2,46.67,-1.44,W,Ocean
86,Vienna,Poitiers,6990,434887,62.2,46.58,0.34,C,Inland
87,Haute-Vienne,Limoges,5520,375795,68.1,45.83,1.25,C,Inland
88,Vosges,Epinal,5874,372016,63.3,48.18,6.44,NE,Inland
89,Yonne,Auxerre,7427,340903,45.9,47.81,3.56,C,Inland
90,Territoire de Belfort,Belfort,609,144483,237.1,47.65,6.85,E,Suisse
91,Essonne,Evry,1804,1276233,707.3,48.64,2.44,N,Inland
92,Hauts-de-Seine,Nanterre,176,1601569,9120.6,48.9,2.2,N,Inland
93,Seine-Saint-Denis,Bobigny,236,1592663,6742.9,48.91,2.44,N ,Inland
94,Val-de-Marne,Creteil,245,1372389,5601.6,48.79,2.45,N ,Inland
95,Val d'Oise,Pontoise,1246,1215390,975.5,49.05,2.09,N,Inland
